orthologs: 12
totalgenes: 7
organism: dmelanogaster
Enriched Phenotype	P-value	n	m	i	rank	q-value	Overlap Genes
leg, with Scer\GAL4[Dll-em212]	0.0012592964985615569	4	25386	1	239	0.05252747252747253	FBgn0264075
oocyte | oogenesis stage S10	0.0012592964985615569	4	25386	1	240	0.052747252747252754	FBgn0002723
tarsal segment 3 | somatic clone	0.0012592964985615569	4	25386	1	241	0.05296703296703297	FBgn0264075
tarsal segment 2 | somatic clone	0.0012592964985615569	4	25386	1	242	0.05318681318681319	FBgn0264075
chemical resistant | semidominant	0.0012592964985615569	4	25386	1	243	0.05340659340659341	FBgn0002723
prothoracic leg disc | larval stage	0.0012592964985615569	4	25386	1	244	0.053626373626373625	FBgn0003513
mesothoracic leg disc | larval stage	0.0012592964985615569	4	25386	1	245	0.05384615384615385	FBgn0003513
border follicle cell | oogenesis stage S10 | somatic clone	0.0012592964985615569	4	25386	1	246	0.05406593406593407	FBgn0264075
larval LN period neuron	0.0012592964985615569	4	25386	1	247	0.054285714285714284	FBgn0023076
viable, with Scer\GAL4[Mef2.PR]	0.0015101442777968837	7866	17524	7	248	0.0545054945054945	FBgn0003513,FBgn0030345,FBgn0037728,FBgn0264075,FBgn0002723,FBgn0261703,FBgn0023076
photoreceptor cell R8 of pale ommatidium	0.001573686571199625	5	25385	1	249	0.05472527472527473	FBgn0003513
leg anterior compartment	0.001573686571199625	5	25385	1	250	0.05494505494505495	FBgn0003513
transverse connective primordium	0.001573686571199625	5	25385	1	251	0.05516483516483517	FBgn0264075
subperineurial glial cell	0.001573686571199625	5	25385	1	252	0.05538461538461539	FBgn0264075
neuroblast MNB	0.001573686571199625	5	25385	1	253	0.05560439560439561	FBgn0264075
exit glial cell	0.001573686571199625	5	25385	1	254	0.05582417582417583	FBgn0264075
abnormal sleep, with Scer\GAL4[P2.4.Pdf]	0.001573686571199625	5	25385	1	255	0.056043956043956046	FBgn0023076
adult olfactory receptor neuron Or47b | adult stage | conditional, with Scer\GAL4[Or47b.7.467]	0.001573686571199625	5	25385	1	256	0.056263736263736264	FBgn0002723
abnormal neurophysiology | adult stage | conditional, with Scer\GAL4[Or47b.7.467]	0.001573686571199625	5	25385	1	257	0.05648351648351649	FBgn0002723
eye photoreceptor cell, with Scer\GAL4[GMR.long]	0.001573686571199625	5	25385	1	258	0.056703296703296706	FBgn0003513
partially lethal - majority die, with Scer\GAL4[-]:	0.001573686571199625	5	25385	1	259	0.05692307692307692	FBgn0002723
abnormal locomotor rhythm, with Scer\GAL4[P0.5.Pdf]	0.001573686571199625	5	25385	1	260	0.05714285714285714	FBgn0023076
tarsal segment | ectopic	0.0018879031461867704	6	25384	1	261	0.05736263736263736	FBgn0003513
abnormal locomotor rhythm, with Scer\GAL4[cry.PE]	0.0018879031461867704	6	25384	1	262	0.05758241758241758	FBgn0023076
abnormal locomotor rhythm | semidominant	0.0018879031461867704	6	25384	1	263	0.0578021978021978	FBgn0023076
increased occurrence of cell division | somatic clone | third instar larval stage	0.0018879031461867704	6	25384	1	264	0.05802197802197803	FBgn0001233
visible | homeotic | recessive	0.0018879031461867704	6	25384	1	265	0.05824175824175825	FBgn0003513
tarsal segment 4 | somatic clone	0.0018879031461867704	6	25384	1	266	0.05846153846153847	FBgn0264075
oocyte | oogenesis stage S9	0.002201946284994452	7	25383	1	267	0.058681318681318685	FBgn0002723
photoreceptor cell R8 of yellow ommatidium	0.002201946284994452	7	25383	1	268	0.0589010989010989	FBgn0003513
bract	0.002201946284994452	7	25383	1	269	0.05912087912087913	FBgn0003513
abnormal neuroanatomy, with Scer\GAL4[sim.P3.7]	0.002201946284994452	7	25383	1	270	0.059340659340659345	FBgn0264075
lethal | male, with Scer\GAL4[Bx-MS1096]	0.002201946284994452	7	25383	1	271	0.05956043956043956	FBgn0001233
abnormal developmental rate | larval stage, with Scer\GAL4[da.G32]	0.002201946284994452	7	25383	1	272	0.05978021978021978	FBgn0001233
eye, with Scer\GAL4[GMR.PU]	0.0022599876691981433	235	25155	2	273	0.06	FBgn0003513,FBgn0001233
fertile | recessive	0.002515816049082722	8	25382	1	274	0.06021978021978022	FBgn0003513
GO0048786:presynaptic active zone | decreased number | third instar larval stage, with Scer\GAL4[Toll-6-D42]	0.002515816049082722	8	25382	1	275	0.06043956043956044	FBgn0001233
pretarsus | somatic clone	0.002515816049082722	8	25382	1	276	0.06065934065934066	FBgn0264075
abnormal locomotor rhythm | dominant	0.002515816049082722	8	25382	1	277	0.060879120879120875	FBgn0023076
dendrite & dorsal multidendritic neuron ddaC | somatic clone	0.002515816049082722	8	25382	1	278	0.06109890109890111	FBgn0003513
metathoracic tarsal segment	0.002515816049082722	8	25382	1	279	0.061318681318681324	FBgn0003513
abnormal neuroanatomy, with Scer\GAL4[477]	0.0028295125000479043	9	25381	1	280	0.06153846153846154	FBgn0003513
arista | somatic clone	0.0028295125000479043	9	25381	1	281	0.061758241758241766	FBgn0264075
abnormal cell number | adult stage	0.0028295125000479043	9	25381	1	282	0.061978021978021984	FBgn0003513
increased occurrence of cell division	0.0028295125000479043	9	25381	1	283	0.0621978021978022	FBgn0003513
VUM neuron	0.0028295125000479043	9	25381	1	284	0.06241758241758242	FBgn0264075
leg | ectopic | somatic clone	0.0031430356995582388	10	25380	1	285	0.06263736263736264	FBgn0003513
primary spermatocyte	0.0031430356995582388	10	25380	1	286	0.06285714285714286	FBgn0001233
abnormal circadian behavior, with Scer\GAL4[P2.4.Pdf]	0.0031430356995582388	10	25380	1	287	0.06307692307692307	FBgn0023076
abnormal circadian rhythm, with Scer\GAL4[tim.PE]	0.0031430356995582388	10	25380	1	288	0.0632967032967033	FBgn0023076
oocyte | oogenesis stage S14	0.0031430356995582388	10	25380	1	289	0.06351648351648352	FBgn0002723
maxillary palpus | somatic clone	0.0031430356995582388	10	25380	1	290	0.06373626373626373	FBgn0264075
visible, with Scer\GAL4[-]:	0.0031430356995582388	10	25380	1	291	0.06395604395604396	FBgn0002723
ommatidium, with Scer\GAL4[GMR.long]	0.003456385708283358	11	25379	1	292	0.06417582417582418	FBgn0003513
lethal | heat sensitive, with Scer\GAL4[hs.PB]	0.003456385708283358	11	25379	1	293	0.0643956043956044	FBgn0003513
abnormal circadian rhythm | adult stage	0.003456385708283358	11	25379	1	294	0.06461538461538462	FBgn0023076
lobula plate	0.003456385708283358	11	25379	1	295	0.06483516483516484	FBgn0002723
leg | ectopic	0.003456385708283358	11	25379	1	296	0.06505494505494507	FBgn0003513
viable, with Dcr-2[UAS.cDa], Scer\GAL4[elav.PLu]	0.0037267929716800086	9038	16352	7	297	0.06527472527472528	FBgn0003513,FBgn0030345,FBgn0037728,FBgn0264075,FBgn0002723,FBgn0261703,FBgn0023076
abnormal locomotor rhythm, with Scer\GAL4[cry.PZ]	0.0037695625884987564	12	25378	1	298	0.0654945054945055	FBgn0023076
abnormal locomotor rhythm | adult stage, with Scer\GAL4[P2.4.Pdf]	0.0037695625884987564	12	25378	1	299	0.06571428571428571	FBgn0023076
short lived, with Scer\GAL4[NP0001]	0.0037695625884987564	12	25378	1	300	0.06593406593406594	FBgn0264075
GO0030017:sarcomere, with Scer\GAL4[Mef2.PR]	0.0039151463063162	312	25078	2	301	0.06615384615384616	FBgn0001233,FBgn0261703
some die during larval stage, with Scer\GAL4[Tub.PU]	0.00408256640183807	13	25377	1	302	0.06637362637362637	FBgn0002723
short lived, with Scer\GAL4[Act5C.PI]	0.00408256640183807	13	25377	1	303	0.0665934065934066	FBgn0261703
metatarsus	0.004395397208712101	14	25376	1	304	0.0668131868131868	FBgn0003513
larval segmental nerve	0.004395397208712101	14	25376	1	305	0.06703296703296703	FBgn0264075
lethal, with Scer\GAL4[unspecified]	0.004395397208712101	14	25376	1	306	0.06725274725274726	FBgn0023076
tarsal segment 2	0.004395397208712101	14	25376	1	307	0.06747252747252748	FBgn0003513
abnormal eclosion rhythm	0.004395397208712101	14	25376	1	308	0.0676923076923077	FBgn0023076
posterior dorsocentral bristle	0.004708055071339281	15	25375	1	309	0.06791208791208792	FBgn0001233
adult midgut, with Scer\GAL4[NP0001]	0.004708055071339281	15	25375	1	310	0.06813186813186814	FBgn0264075
posterior vertical bristle	0.004708055071339281	15	25375	1	311	0.06835164835164835	FBgn0003513
lobula	0.004708055071339281	15	25375	1	312	0.06857142857142857	FBgn0002723
antenna | somatic clone	0.004708055071339281	15	25375	1	313	0.0687912087912088	FBgn0264075
tarsal segment | somatic clone	0.005020540050577631	16	25374	1	314	0.06901098901098901	FBgn0264075
lethal, with Scer\GAL4[GMR.PF], Scer\GAL4[ey.PH]	0.005020540050577631	16	25374	1	315	0.06923076923076923	FBgn0001233
abnormal locomotor rhythm | recessive	0.005020540050577631	16	25374	1	316	0.06945054945054945	FBgn0023076
abdominal sternite bristle	0.005020540050577631	16	25374	1	317	0.06967032967032967	FBgn0002723
scutellar bristle | increased number	0.005020540050577631	16	25374	1	318	0.0698901098901099	FBgn0001233
leg joint	0.005332852208070345	17	25373	1	319	0.0701098901098901	FBgn0003513
abnormal flight, with Scer\GAL4[Mef2.PR]	0.005348825858030841	367	25023	2	320	0.07032967032967034	FBgn0002723,FBgn0261703
antennal sense organ	0.005644991605267679	18	25372	1	321	0.07054945054945055	FBgn0003513
decreased occurrence of cell division	0.005956958303660366	19	25371	1	322	0.07076923076923078	FBgn0003513
embryonic/larval tracheal system, with Scer\GAL4[btl.PS]	0.005956958303660366	19	25371	1	323	0.07098901098901099	FBgn0264075
third segment of antenna	0.006268752363522152	20	25370	1	324	0.07120879120879121	FBgn0003513
tarsal segment 3	0.006268752363522152	20	25370	1	325	0.07142857142857144	FBgn0003513
lethal - all die before end of larval stage, with Scer\GAL4[Tub.PU]	0.006268752363522152	20	25370	1	326	0.07164835164835165	FBgn0002723
some die during pupal stage, with Scer\GAL4[tin.CΔ4]	0.006268752363522152	20	25370	1	327	0.07186813186813187	FBgn0001233
increased cell death | third instar larval stage, with Scer\GAL4[en-e16E]	0.006580373847469978	21	25369	1	328	0.07208791208791208	FBgn0001233
abnormal cell migration	0.006580373847469978	21	25369	1	329	0.07230769230769231	FBgn0264075
Nebenkern derivative	0.006580373847469978	21	25369	1	330	0.07252747252747253	FBgn0001233
anterior dorsocentral bristle	0.006580373847469978	21	25369	1	331	0.07274725274725274	FBgn0001233
dorsal branch primordium	0.006580373847469978	21	25369	1	332	0.07296703296703297	FBgn0264075
ganglionic branch primordium	0.006891822815338235	22	25368	1	333	0.07318681318681318	FBgn0264075
eye, with Scer\GAL4[GMR.long]	0.006891822815338235	22	25368	1	334	0.0734065934065934	FBgn0003513
abnormal circadian rhythm	0.006891822815338235	22	25368	1	335	0.07362637362637363	FBgn0023076
tarsal segment 4	0.007203099330891404	23	25367	1	336	0.07384615384615385	FBgn0003513
humeral bristle	0.007203099330891404	23	25367	1	337	0.07406593406593408	FBgn0001233
mesothoracic leg	0.007203099330891404	23	25367	1	338	0.07428571428571429	FBgn0003513
embryonic/larval neuromuscular junction | third instar larval stage, with Scer\GAL4[Toll-6-D42]	0.007203099330891404	23	25367	1	339	0.07450549450549451	FBgn0001233
secondary pigment cell	0.007514203452390748	24	25366	1	340	0.07472527472527472	FBgn0001233
peripheral nervous system	0.007514203452390748	24	25366	1	341	0.07494505494505495	FBgn0264075
fertile	0.007655702995398864	2937	22453	4	342	0.07516483516483517	FBgn0003513,FBgn0001233,FBgn0037728,FBgn0261703
maxillary palpus	0.007825135243093688	25	25365	1	343	0.07538461538461538	FBgn0003513
abnormal neuroanatomy	0.00802026901639889	454	24936	2	344	0.07560439560439561	FBgn0003513,FBgn0264075
primary spermatocyte cyst	0.008135894763297022	26	25364	1	345	0.07582417582417583	FBgn0001233
increased occurrence of cell division | adult stage, with Scer\GAL4[NP0001]	0.008135894763297022	26	25364	1	346	0.07604395604395604	FBgn0264075
visible | homeotic	0.008135894763297022	26	25364	1	347	0.07626373626373627	FBgn0003513
wing disc | third instar larval stage, with Scer\GAL4[en-e16E]	0.008135894763297022	26	25364	1	348	0.07648351648351648	FBgn0001233
abnormal locomotor rhythm, with Scer\GAL4[tim.UAS]	0.00844648207474819	27	25363	1	349	0.07670329670329672	FBgn0023076
some die during P-stage	0.008756897238036021	28	25362	1	350	0.07692307692307693	FBgn0002723
abnormal mitotic cell cycle | larval stage	0.009067140315471725	29	25361	1	351	0.07714285714285715	FBgn0001233
abnormal locomotor rhythm, with Scer\GAL4[P2.4.Pdf]	0.009067140315471725	29	25361	1	352	0.07736263736263738	FBgn0023076
viable | recessive	0.009067140315471725	29	25361	1	353	0.07758241758241759	FBgn0003513
abnormal gravitaxis	0.009377211366335004	30	25360	1	354	0.07780219780219781	FBgn0003513
male sterile	0.009514263907755458	497	24893	2	355	0.07802197802197802	FBgn0003513,FBgn0001233
eye disc | somatic clone | third instar larval stage	0.009687110452976388	31	25359	1	356	0.07824175824175825	FBgn0001233
abnormal neuroanatomy, with Scer\GAL4[ppk.PG]	0.009687110452976388	31	25359	1	357	0.07846153846153847	FBgn0003513
visible, with Scer\GAL4[Bx-MS1096]	0.010433422855043475	522	24868	2	358	0.07868131868131868	FBgn0001233,FBgn0023076
dorsal trunk primordium	0.010924988379876516	35	25355	1	359	0.0789010989010989	FBgn0264075
spermatid axoneme	0.011234028561214344	36	25354	1	360	0.07912087912087912	FBgn0001233
abnormal temperature response	0.011542897145943636	37	25353	1	361	0.07934065934065934	FBgn0023076
GO0005813:centrosome	0.011851594191982616	38	25352	1	362	0.07956043956043957	FBgn0001233
midline glial cell	0.011851594191982616	38	25352	1	363	0.07978021978021979	FBgn0264075
abnormal locomotor rhythm, with Scer\GAL4[tim.PE]	0.013084668232793667	42	25348	1	364	0.08000000000000002	FBgn0023076
wing, with Scer\GAL4[Bx-MS1096]	0.013114450667245587	590	24800	2	365	0.08021978021978023	FBgn0001233,FBgn0023076
chemical resistant | dominant	0.01339250851083764	43	25347	1	366	0.08043956043956045	FBgn0002723
abnormal size	0.013700177617790434	44	25346	1	367	0.08065934065934066	FBgn0003513
adult heart	0.013700177617790434	44	25346	1	368	0.08087912087912089	FBgn0023076
eye photoreceptor cell, with Scer\GAL4[GMR.PF]	0.013700177617790434	44	25346	1	369	0.08109890109890111	FBgn0003513
flightless | recessive	0.01400767561484627	45	25345	1	370	0.08131868131868132	FBgn0003513
GO0030424:axon	0.014315002563360872	46	25344	1	371	0.08153846153846155	FBgn0264075
larval intersegmental nerve	0.01462215852120805	47	25343	1	372	0.08175824175824176	FBgn0264075
macrochaeta | somatic clone	0.014929143553068938	48	25342	1	373	0.08197802197802198	FBgn0264075
male genitalia	0.014929143553068938	48	25342	1	374	0.0821978021978022	FBgn0002723
eye-antennal disc	0.015542601077009397	50	25340	1	375	0.08241758241758242	FBgn0003513
abnormal courtship behavior	0.015542601077009397	50	25340	1	376	0.08263736263736264	FBgn0003513
viable, with Scer\GAL4[da.G32]	0.016155375622802753	52	25338	1	377	0.08285714285714287	FBgn0001233
presumptive embryonic/larval tracheal system	0.01676746767336145	54	25336	1	378	0.08307692307692309	FBgn0264075
sex comb	0.017073257917479993	55	25335	1	379	0.0832967032967033	FBgn0003513
wild-type	0.017186874006197488	683	24707	2	380	0.08351648351648353	FBgn0001233,FBgn0002723
abnormal sleep	0.017684327140848544	57	25333	1	381	0.08373626373626375	FBgn0023076
wing, with Scer\GAL4[ptc-559.1]	0.019817707539311932	64	25326	1	382	0.08395604395604396	FBgn0003513
viable, with Scer\GAL4[tin.CΔ4]	0.019945820749475335	6123	19267	5	383	0.08417582417582418	FBgn0003513,FBgn0030345,FBgn0037728,FBgn0264075,FBgn0023076
chaeta	0.020425714828050535	66	25324	1	384	0.0843956043956044	FBgn0001233
head	0.021336452613534732	69	25321	1	385	0.08461538461538462	FBgn0023076
spermatocyte	0.022548395645170496	73	25317	1	386	0.08483516483516484	FBgn0001233
abnormal visual behavior	0.02285095787458225	74	25316	1	387	0.08505494505494506	FBgn0023076
thorax	0.023153350816332515	75	25315	1	388	0.08527472527472528	FBgn0003513
tarsal segment	0.023153350816332515	75	25315	1	389	0.08549450549450549	FBgn0003513
embryonic/larval somatic muscle, with Scer\GAL4[Mef2.PR]	0.024059514501395093	78	25312	1	390	0.08571428571428572	FBgn0001233
lethal - all die before end of larval stage | recessive	0.024124294884444748	823	24567	2	391	0.08593406593406594	FBgn0001233,FBgn0030345
lethal | male limited | cold sensitive, with Scer\GAL4[Bx-MS1096]	0.024662778280297674	80	25310	1	392	0.08615384615384616	FBgn0264075
wing | female limited | cold sensitive, with Scer\GAL4[Bx-MS1096]	0.024662778280297674	80	25310	1	393	0.08637362637362639	FBgn0264075
embryonic/larval brain | larval stage	0.024662778280297674	80	25310	1	394	0.0865934065934066	FBgn0001233
symmetrical commissure	0.024964156751853837	81	25309	1	395	0.08681318681318682	FBgn0264075
antenna	0.025566407144967593	83	25307	1	396	0.08703296703296703	FBgn0003513
chemical resistant	0.025867279192797073	84	25306	1	397	0.08725274725274726	FBgn0002723
arista	0.026768883457495195	87	25303	1	398	0.08747252747252748	FBgn0003513
photoreceptor cell R7	0.027069081116991214	88	25302	1	399	0.0876923076923077	FBgn0001233
wing, with Scer\GAL4[sd-SG29.1]	0.027069081116991214	88	25302	1	400	0.08791208791208792	FBgn0003513
visible | female limited | cold sensitive, with Scer\GAL4[Bx-MS1096]	0.028567543946440854	93	25297	1	401	0.08813186813186813	FBgn0264075
abnormal neuroanatomy | adult stage	0.028866731837656916	94	25296	1	402	0.08835164835164835	FBgn0003513
lethal | male limited, with Scer\GAL4[Bx-MS1096]	0.029763287243782487	97	25293	1	403	0.08857142857142858	FBgn0264075
wing | female limited, with Scer\GAL4[Bx-MS1096]	0.029763287243782487	97	25293	1	404	0.08879120879120879	FBgn0264075
sterile	0.030360151223772554	99	25291	1	405	0.08901098901098901	FBgn0003513
visible	0.0312809726728464	952	24438	2	406	0.08923076923076924	FBgn0003513,FBgn0002723
GO0016006:Nebenkern	0.032146718263270355	105	25285	1	407	0.08945054945054946	FBgn0001233
larval longitudinal connective	0.03244389310421268	106	25284	1	408	0.08967032967032967	FBgn0264075
visible | female limited, with Scer\GAL4[Bx-MS1096]	0.03540644631033139	116	25274	1	409	0.0898901098901099	FBgn0264075
abnormal memory	0.03540644631033139	116	25274	1	410	0.09010989010989012	FBgn0003513
presumptive embryonic/larval central nervous system	0.03629195761228146	119	25271	1	411	0.09032967032967033	FBgn0264075
visible | recessive | somatic clone	0.03776447884120832	124	25266	1	412	0.09054945054945056	FBgn0264075
scutellar bristle	0.03805848398110808	125	25265	1	413	0.09076923076923077	FBgn0003513
abnormal neuroanatomy | somatic clone	0.0418654456649124	138	25252	1	414	0.090989010989011	FBgn0003513
visible, with Scer\GAL4[GMR.PU]	0.042157129020785444	139	25251	1	415	0.09120879120879122	FBgn0003513
microchaeta	0.04273999960853042	141	25249	1	416	0.09142857142857143	FBgn0003513
embryonic/larval tracheal system	0.04273999960853042	141	25249	1	417	0.09164835164835165	FBgn0264075
partially lethal - majority die, with Scer\GAL4[pnr-MD237]	0.04749255013744659	1211	24179	2	418	0.09186813186813186	FBgn0002723,FBgn0261703
GO0030016:myofibril, with Scer\GAL4[Mef2.PR]	0.05025732890406238	167	25223	1	419	0.09208791208791209	FBgn0261703
wing | somatic clone	0.05083098708497794	169	25221	1	420	0.09230769230769231	FBgn0264075
spermatid	0.05169024734756708	172	25218	1	421	0.09252747252747254	FBgn0001233
trichogen cell, with Scer\GAL4[pnr-MD237]	0.05842869881258156	1370	24020	2	422	0.09274725274725276	FBgn0003513,FBgn0264075
chemical sensitive	0.05851150685135722	196	25194	1	423	0.09296703296703297	FBgn0002723
ovary	0.059639287568461014	200	25190	1	424	0.0931868131868132	FBgn0002723
leg	0.06468231795145447	218	25172	1	425	0.09340659340659341	FBgn0003513
spermatozoon	0.06468231795145447	218	25172	1	426	0.09362637362637363	FBgn0001233
partially lethal, with Scer\GAL4[tin.CΔ4]	0.0652394334049752	220	25170	1	427	0.09384615384615386	FBgn0001233
lethal | recessive	0.0653236153693747	5732	19658	4	428	0.09406593406593407	FBgn0003513,FBgn0001233,FBgn0264075,FBgn0002723
lethal, with Scer\GAL4[Act5C.PU]	0.06718428050378543	227	25163	1	429	0.09428571428571429	FBgn0001233
viable, with Scer\GAL4[pnr-MD237]	0.06876465487209249	8481	16909	5	430	0.0945054945054945	FBgn0003513,FBgn0030345,FBgn0037728,FBgn0264075,FBgn0023076
lethal - all die before end of pupal stage	0.07242363178237746	246	25144	1	431	0.09472527472527473	FBgn0001233
visible | somatic clone	0.07461246552446546	254	25136	1	432	0.09494505494505495	FBgn0003513
GO0030018:Z disc, with Scer\GAL4[Mef2.PR]	0.07461246552446546	254	25136	1	433	0.09516483516483516	FBgn0001233
partially lethal	0.0781476751888641	267	25123	1	434	0.0953846153846154	FBgn0003513
some die during pupal stage	0.07977030128997105	273	25117	1	435	0.09560439560439561	FBgn0002723
female fertile	0.08030991543271254	275	25115	1	436	0.09582417582417584	FBgn0001233
short lived	0.08165619620199835	280	25110	1	437	0.09604395604395605	FBgn0001233
some die during pupal stage, with Scer\GAL4[pnr-MD237]	0.08611161780939515	1743	23647	2	438	0.09626373626373627	FBgn0002723,FBgn0261703
orthologs: 12
totalgenes: 7
organism: dmelanogaster
Enriched Phenotype	P-value	n	m	i	rank	q-value	Overlap Genes
female semi-sterile	2.2956587593238784e-08	110	25280	4	1	0.00021978021978021978	FBgn0003513,FBgn0001233,FBgn0002723,FBgn0261703
chemical resistant | larval stage	8.68104022843018e-07	5	25385	2	2	0.00043956043956043956	FBgn0002723,FBgn0261703
abnormal behavior	6.9992187604005815e-06	129	25261	3	3	0.0006593406593406593	FBgn0003513,FBgn0001233,FBgn0023076
abnormal locomotor rhythm	0.00015166752864642942	60	25330	2	4	0.0008791208791208791	FBgn0001233,FBgn0023076
decreased fecundity | female	0.00020644646301294487	70	25320	2	5	0.0010989010989010991	FBgn0002723,FBgn0261703
female semi-fertile	0.00024328624596491153	76	25314	2	6	0.0013186813186813187	FBgn0001233,FBgn0002723
visible, with Scer\GAL4[rn-GAL4]	0.0003150846790100361	1	25389	1	7	0.0015384615384615387	FBgn0003513
increased cell death | cell non-autonomous | somatic clone, with Scer\GAL4[Act5C.PI]	0.0003150846790100361	1	25389	1	8	0.0017582417582417582	FBgn0003513
increased cell death | cell autonomous | somatic clone, with Scer\GAL4[Act5C.PI]	0.0003150846790100361	1	25389	1	9	0.001978021978021978	FBgn0003513
femur | distal	0.0003150846790100361	1	25389	1	10	0.0021978021978021982	FBgn0003513
tarsal segment (with Df(3R)ss-D114.4)	0.0003150846790100361	1	25389	1	11	0.002417582417582418	FBgn0003513
tarsal segment 2 (with ss[D114.9])	0.0003150846790100361	1	25389	1	12	0.0026373626373626374	FBgn0003513
male genitalia, with Scer\GAL4[-]:	0.0003150846790100361	1	25389	1	13	0.002857142857142857	FBgn0002723
tarsal segment, with Scer\GAL4[rn-GAL4]	0.0003150846790100361	1	25389	1	14	0.0030769230769230774	FBgn0003513
tarsal segment 4 (with ss[D114.9])	0.0003150846790100361	1	25389	1	15	0.003296703296703297	FBgn0003513
unguis | ectopic (with Df(3R)ss-D114.4)	0.0003150846790100361	1	25389	1	16	0.0035164835164835165	FBgn0003513
ventral thoracic disc (with ss[D114.9])	0.0003150846790100361	1	25389	1	17	0.0037362637362637363	FBgn0003513
visible (with ss[D114.9])	0.0003150846790100361	1	25389	1	18	0.003956043956043956	FBgn0003513
yellow ommatidium | somatic clone	0.0003150846790100361	1	25389	1	19	0.004175824175824175	FBgn0003513
dendrite & dorsal multidendritic neuron ddaC, with Scer\GAL4[ppk.PG]	0.0003150846790100361	1	25389	1	20	0.0043956043956043965	FBgn0003513
dendrite & tracheal innervating neuron, with Scer\GAL4[477]	0.0003150846790100361	1	25389	1	21	0.004615384615384616	FBgn0003513
tarsal segment 3 (with ss[D114.9])	0.0003150846790100361	1	25389	1	22	0.004835164835164836	FBgn0003513
leg, with Scer\GAL4[rn-GAL4]	0.0003150846790100361	1	25389	1	23	0.005054945054945055	FBgn0003513
tergite, with Scer\GAL4[ptc-559.1]	0.0003150846790100361	1	25389	1	24	0.005274725274725275	FBgn0003513
tibia, with Scer\GAL4[ptc-559.1]	0.0003150846790100361	1	25389	1	25	0.005494505494505495	FBgn0003513
visible (with Df(3R)ss-D114.4)	0.0003150846790100361	1	25389	1	26	0.005714285714285714	FBgn0003513
photoreceptor cell R7 of yellow ommatidium | somatic clone	0.0003150846790100361	1	25389	1	27	0.0059340659340659345	FBgn0003513
pretarsus (with ss[D114.9])	0.0003150846790100361	1	25389	1	28	0.006153846153846155	FBgn0003513
pretarsus | ectopic (with Df(3R)ss-D114.4)	0.0003150846790100361	1	25389	1	29	0.006373626373626373	FBgn0003513
leg | distal, with Scer\GAL4[ptc-559.1]	0.0003150846790100361	1	25389	1	30	0.006593406593406594	FBgn0003513
maxillary palpus, with Scer\GAL4[ptc-559.1]	0.0003150846790100361	1	25389	1	31	0.006813186813186813	FBgn0003513
wing disc | cell autonomous | somatic clone, with Scer\GAL4[Act5C.PI]	0.0003150846790100361	1	25389	1	32	0.007032967032967033	FBgn0003513
photoreceptor cell R7 of pale ommatidium | heat sensitive, with Scer\GAL4[hs.PB]	0.0003150846790100361	1	25389	1	33	0.007252747252747254	FBgn0003513
photoreceptor cell R7 of pale ommatidium, with Scer\GAL4[Pan-R7]	0.0003150846790100361	1	25389	1	34	0.0074725274725274725	FBgn0003513
photoreceptor cell R7 of yellow ommatidium | ectopic | heat sensitive, with Scer\GAL4[hs.PB]	0.0003150846790100361	1	25389	1	35	0.007692307692307693	FBgn0003513
photoreceptor cell R7 of yellow ommatidium | ectopic, with Scer\GAL4[GMR.PF]	0.0003150846790100361	1	25389	1	36	0.007912087912087912	FBgn0003513
photoreceptor cell R7 of yellow ommatidium | ectopic, with Scer\GAL4[Pan-R7]	0.0003150846790100361	1	25389	1	37	0.008131868131868133	FBgn0003513
rostral membrane, with Scer\GAL4[ptc-559.1]	0.0003150846790100361	1	25389	1	38	0.00835164835164835	FBgn0003513
denticle belt | medial, with Scer\GAL4[69B]	0.0003150846790100361	1	25389	1	39	0.008571428571428572	FBgn0003513
photoreceptor cell R7 of pale ommatidium, with Scer\GAL4[GMR.PF]	0.0003150846790100361	1	25389	1	40	0.008791208791208793	FBgn0003513
eye photoreceptor cell | heat sensitive, with Scer\GAL4[hs.PB]	0.0003150846790100361	1	25389	1	41	0.00901098901098901	FBgn0003513
partially lethal - majority die | larval stage, with Scer\GAL4[Act.PU]	0.0003150846790100361	1	25389	1	42	0.009230769230769232	FBgn0002723
abdominal sternite bristle, with Scer\GAL4[-]:	0.0003150846790100361	1	25389	1	43	0.009450549450549451	FBgn0002723
abnormal locomotor rhythm, with Scer\GAL4[to.PD]	0.0003150846790100361	1	25389	1	44	0.009670329670329672	FBgn0023076
viable, with Scer\GAL4[MJ162A]	0.0003150846790100361	1	25389	1	45	0.00989010989010989	FBgn0023076
viable, with Scer\GAL4[cry.PZ]	0.0003150846790100361	1	25389	1	46	0.01010989010989011	FBgn0023076
abnormal locomotor rhythm (with Clk[Jrk])	0.0003150846790100361	1	25389	1	47	0.01032967032967033	FBgn0023076
abnormal locomotor rhythm (with Df(3L)HnD-1)	0.0003150846790100361	1	25389	1	48	0.01054945054945055	FBgn0023076
abnormal circadian rhythm (with Clk[S258A.Tag:V5])	0.0003150846790100361	1	25389	1	49	0.01076923076923077	FBgn0023076
abnormal feeding behavior, with Scer\GAL4[Orco.2.642.Hsim\VP22]	0.0003150846790100361	1	25389	1	50	0.01098901098901099	FBgn0023076
abnormal circadian rhythm (with Clk[S476A.S482A.S487A.Tag:V5])	0.0003150846790100361	1	25389	1	51	0.01120879120879121	FBgn0023076
